Product,Category
tropical fruit,Fruits
whole milk,Beverages
pip fruit,Fruits
other vegetables,Vegetables
rolls/buns,Bakery
pot plants,Plants
citrus fruit,Fruits
beef,Meat
frankfurter,Dairy
chicken,Meat
butter,Bakery
fruit/vegetable juice,Beverages
packaged fruit/vegetables,Vegetables
chocolate,Bakery
specialty bar,Bakery
butter milk,Beverages
bottled water,Beverages
yogurt,Dairy
sausage,Meat
brown bread,Bakery
hamburger meat,Meat
root vegetables,Vegetables
pork,Meat
pastry,Bakery
canned beer,Alcohol
berries,Fruits
coffee,Dairy
misc. beverages,Beverages
ham,Meat
turkey,Meat
curd cheese,Dairy
red/blush wine,Alcohol
frozen potato products,Vegetables
flour,Bakery
sugar,Bakery
frozen meals,Frozen
herbs,Snacks
soda,Beverages
detergent,Kitchenware
grapes,Fruits
processed cheese,Bakery
fish,Meat
sparkling wine,Alcohol
newspapers,Kitchenware
curd,Dairy
pasta,Bakery
popcorn,Snacks
finished products,Vegetables
beverages,Beverages
bottled beer,Alcohol
dessert,Bakery
dog food,Pet
specialty chocolate,Bakery
condensed milk,Bakery
cleaner,Kitchenware
white wine,Alcohol
meat,Meat
ice cream,Dairy
hard cheese,Dairy
cream cheese ,Dairy
liquor,Alcohol
pickled vegetables,Vegetables
liquor (appetizer),Alcohol
UHT-milk,Dairy
candy,Sweets
onions,Vegetables
hair spray,Cosmetics
photo/film,Mis.
domestic eggs,Dairy
margarine,Mis.
shopping bags,Mis.
salt,Kitchen
oil,Kitchen
whipped/sour cream,Dairy
frozen vegetables,Vegetables
sliced cheese,Dairy
dish cleaner,Kitchenware
baking powder,Bakery
specialty cheese,Bakery
salty snack,Snacks
Instant food products,Snacks
pet care,Pet
white bread,Bakery
female sanitary products,Mis.
cling film/bags,Mis.
soap,Kitchenware
frozen chicken,Meat
house keeping products,Kitchenware
spread cheese,Bakery
decalcifier,Kitchen
frozen dessert,Sweets
vinegar,Beverages
nuts/prunes,Snacks
potato products,Vegetables
frozen fish,Meat
hygiene articles,Kitchen
artif. sweetener,Dairy
light bulbs,Electronics
canned vegetables,Vegetables
chewing gum,Snacks
canned fish,Meat
cookware,Kitchenware
semi-finished bread,Bakery
cat food,Pet
bathroom cleaner,Kitchenware
prosecco,Alcohol
liver loaf,Bakery
zwieback,Bakery
canned fruit,Fruits
frozen fruits,Fruits
brandy,Alcohol
baby cosmetics,Cosmetics
spices,Kitchen
napkins,Kitchenware
waffles,Bakery
sauces,Bakery
rum,Alcohol
chocolate marshmallow,Sweets
long life bakery product,Bakery
bags,Mis.
sweet spreads,Bakery
soups,Beverages
mustard,Snacks
specialty fat,Dairy
instant coffee,Beverages
snack products,Snacks
organic sausage,Meat
soft cheese,Dairy
mayonnaise,Dairy
dental care,Cosmetics
roll products ,Kitchenware
kitchen towels,Kitchenware
flower soil/fertilizer,Fruits
cereals,Bakery
meat spreads,Snacks
dishes,Kitchenware
male cosmetics,Cosmetics
candles,Cosmetics
whisky,Alcohol
tidbits,Kitchen
cooking chocolate,Bakery
seasonal products,Snacks
liqueur,Alcohol
abrasive cleaner,Kitchenware
syrup,Beverages
ketchup,Snacks
cream,Dairy
skin care,Cosmetics
rubbing alcohol,Alcohol
nut snack,Snacks
cocoa drinks,Beverages
softener,Kitchenware
organic products,Snacks
cake bar,Bakery
honey,Beverages
jam,Dairy
kitchen utensil,Kitchenware
flower (seeds),Vegetables
rice,Snacks
tea,Beverages
salad dressing,Snacks
specialty vegetables,Vegetables
pudding powder,Bakery
ready soups,Beverages
make up remover,Cosmetics
toilet cleaner,Kitchenware
preservation products,Snacks
